,State,Case_Count,Num_Tweets,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Death_Rate,Hospitalization_Rate
0,AL,52404.2,2.6,1259.55,1164.0,30308.0,7123.0,25783.0,57255.0,471834.0,529089.0,0.022390776991453594,0.13701847466505496
1,AK,1408.2,1.0,39.5,17.0,920.0,,20754.8,1579.0,147894.0,149473.0,0.0122259870211306,
2,AZ,118323.2,10.4,3395.35,2337.0,110082.0,5942.0,23762.0,128097.0,593846.0,721943.0,0.019846673520576372,0.050461674822107325
3,AR,27522.0,2.2,621.85,331.0,6637.0,1872.0,25195.2,29812.0,360487.0,390299.0,0.012086245480644351,0.06835483848871972
4,CA,317846.2,69.8,7514.3,7250.0,,,,346211.0,5328744.0,5674955.0,0.022918206029880015,
5,CO,36395.8,8.6,326.45,1738.0,31122.0,5941.0,21588.0,37668.0,367287.0,404955.0,0.04779572171284256,0.16337996702876734
6,CT,47308.6,2.6,80.85,4372.0,34807.0,10552.0,22296.6,47530.0,544231.0,591761.0,0.09241589479514736,0.2230495246748387
7,DE,12715.2,1.8,104.0,518.0,5267.0,,22063.2,12969.0,128631.0,141600.0,0.040750148736176404,
8,FL,258288.2,32.0,9130.75,4409.0,,19201.0,,291629.0,2393614.0,2685243.0,0.017294901605519237,0.0753185315780392
9,GA,113850.0,14.6,2729.1,3054.0,,13685.0,,123963.0,1007071.0,1131034.0,0.026975134990657606,0.12087580954392577
10,HI,1183.0,2.2,21.45,22.0,331.0,128.0,20808.6,1264.0,94806.0,96070.0,0.018671268729684172,0.10863283624543518
11,ID,10393.0,3.8,365.9,103.0,8355.0,500.0,21278.8,11720.0,118564.0,130284.0,0.0100470513260567,0.04877209381580923
12,IL,153745.0,9.2,904.9,7419.0,,,,156638.0,1885934.0,2042572.0,0.04826968409962186,
13,IN,50892.0,4.4,477.25,2775.0,10755.0,7633.0,28457.4,52685.0,525724.0,578409.0,0.05457708213770002,0.1501213938584015
14,IA,34431.0,1.6,469.85,757.0,8157.0,,26016.8,35866.0,344542.0,380408.0,0.022027515873272598,
15,KS,18635.4,3.2,347.85,299.0,18668.0,1343.0,20810.4,19887.0,211288.0,231175.0,0.016102070800870383,0.0723246859049128
16,KY,19020.6,8.6,293.0,635.0,14199.0,2802.0,21704.2,20223.0,435333.0,455556.0,0.03346709986828514,0.1476768721747007
17,LA,76058.6,5.4,1478.25,3445.0,32263.0,,29893.2,82042.0,894413.0,976455.0,0.045492181897108845,
18,ME,3518.2,1.4,27.45,114.0,390.0,373.0,21238.8,3566.0,121909.0,125475.0,0.03240912553629659,0.10604038443016339
19,MD,72523.6,7.0,446.15,3334.0,65688.0,11485.0,21674.0,74260.0,591809.0,666069.0,0.04598861088060971,0.15842207437426592
20,MA,111351.6,7.0,225.95,8340.0,9443.0,11625.0,39495.8,112130.0,866084.0,978214.0,0.07490032927412013,0.1044024373874876
21,MI,76188.0,9.0,465.45,6326.0,17671.0,,31399.8,77864.0,1255922.0,1333786.0,0.083058843115788,
22,MN,41480.2,3.8,470.35,1548.0,3873.0,4452.0,28176.2,43170.0,734444.0,777614.0,0.03737317347788404,0.10748408806430217
23,MS,35257.0,0.6,705.9,1272.0,10338.0,3585.0,25812.8,37542.0,312671.0,350213.0,0.03619353378615262,0.10200771904351977
24,MO,27317.8,2.2,505.85,1114.0,,,,29240.0,475863.0,505103.0,0.04089999549943465,
25,MT,1659.0,1.2,59.3,34.0,1034.0,136.0,20803.2,1952.0,119444.0,121396.0,0.020961041467773976,0.0838441658710959
26,NE,21027.6,2.0,174.8,286.0,5406.0,1431.0,23831.4,21717.0,194518.0,216235.0,0.01360956405324477,0.0680954061545219
27,NV,26883.8,4.8,804.55,612.0,28207.0,,20786.4,29619.0,330561.0,360180.0,0.02292010580224632,
28,NH,6023.4,5.8,24.65,392.0,643.0,589.0,21637.6,6091.0,129937.0,136028.0,0.06508588863787448,0.09779486838701039
29,NJ,174962.6,6.0,301.15,15582.0,129015.0,20632.0,26890.0,175915.0,1545316.0,1721231.0,0.08906080290603612,0.1179246878165407
30,NM,14773.4,2.4,226.2,551.0,8600.0,2227.0,21899.0,15514.0,408841.0,424355.0,0.03736685771608931,0.15102720895413957
31,NY,401000.4,52.8,675.45,32408.0,299075.0,89995.0,34964.8,403175.0,4381752.0,4784927.0,0.08081942404376631,0.22443051304673994
32,NC,83762.8,11.0,1673.65,1571.0,21305.0,,34051.2,90000.0,1164846.0,1254846.0,0.018827158398071517,
33,ND,4284.2,0.0,56.55,88.0,720.0,280.0,21363.4,4493.0,120540.0,125033.0,0.020615879549166355,0.06559598038371113
34,OH,64160.4,9.2,1061.8,3069.0,18644.0,9049.0,29882.8,67995.0,975754.0,1043749.0,0.04796478565776342,0.1414250066526886
35,OK,19701.8,3.2,511.5,428.0,4677.0,2116.0,23953.4,21740.0,419554.0,441294.0,0.021861285921673145,0.108080563108085
36,OR,11809.4,2.6,268.05,244.0,9432.0,1254.0,21252.2,12805.0,292651.0,305456.0,0.020767166426637753,0.10672961761886779
37,PA,98968.0,12.2,679.05,6931.0,19899.0,,35513.6,101266.0,846017.0,947283.0,0.07005842511261205,
38,RI,17359.0,1.2,49.1,985.0,14911.0,2070.0,20964.8,17588.0,157070.0,174658.0,0.05674737106026848,0.11925589654289927
39,SC,54604.6,4.8,1624.6,993.0,35547.0,3744.0,25396.2,60389.0,457092.0,517481.0,0.018329992226071706,0.06911126978289273
40,SD,7440.0,0.2,57.65,109.0,864.0,744.0,21946.2,7572.0,84592.0,92164.0,0.01465752033721236,0.10004766175124767
41,TN,61198.8,5.0,1477.65,767.0,27749.0,3378.0,28280.8,66788.0,1005100.0,1071888.0,0.012602645486922937,0.05550421962819515
42,TX,252395.0,22.0,7572.25,3362.0,133817.0,,49106.0,279577.0,2319103.0,2598680.0,0.013435226864836735,
43,UT,28700.4,1.8,584.7,226.0,12141.0,1888.0,24248.6,30478.0,394043.0,424521.0,0.007900041015706537,0.06599680282147762
44,VT,1285.4,0.0,6.05,56.0,150.0,,20846.2,1305.0,76319.0,77624.0,0.04358152134124021,
45,VA,69901.0,8.8,646.45,1977.0,61043.0,10550.0,22511.0,72443.0,758407.0,830850.0,0.028309503572576607,0.15106993560479673
46,WA,39899.6,8.8,621.75,1404.0,,4778.0,,42304.0,665970.0,708274.0,0.03525305877597555,0.11997087950969458
47,WV,4127.0,0.8,88.8,97.0,1328.0,,21222.8,4407.0,209605.0,214012.0,0.0236729474144458,
48,WI,35520.8,3.2,607.15,826.0,7805.0,3892.0,26481.4,37906.0,676638.0,714544.0,0.02332812358089071,0.10991895517775625
49,WY,1866.0,0.2,33.4,22.0,466.0,128.0,20918.8,1950.0,38078.0,40028.0,0.011826702033598587,0.06880990274093722
