,Case_Count,Num_Tweets,State,Lat,Lon,Cases_Per_Day,Deaths,Population,Death_Rate
50,8287,1,LAOrleans,30.0385,-89.9037,48.36,536,390144,0.06467961867986002
51,26969,2,PAPhiladelphia,40.0076,-75.1338,0.29,5,1584064,0.0001853980496125181
52,6854,1,NJMorris,40.8621,-74.5445,25.29,825,491845,0.12036766851473592
53,45,1,IDBonner,48.2997,-116.601,2.14,NA,45739,NA
54,13343,1,UTSalt Lake,40.6676,-111.9239,45.50,6,1160437,0.0004496739863598891
55,217777,8,NYNew York,40.7786,-73.9689,38.36,2188,1628706,0.010046974657562553
56,9362,1,NJMonmouth,40.259,-74.2257,22.57,1348,618795,0.14398632770775474
57,123256,7,CALos Angeles,34.3203,-118.2252,2401.64,3643,10039107,0.02955637048095022
58,0,3,NYKings,40.6447,-73.9472,NA,NA,2559903,NA
59,199,1,WAIsland,48.1629,-122.5486,0.00,NA,85141,NA
60,18920,1,NJEssex,40.7881,-74.2481,8.71,149,798975,0.007875264270613108
61,70128,1,AZMaricopa,33.3488,-112.4912,2509.71,959,4485414,0.013674994296144194
62,233,1,WIMarathon,44.8983,-89.759,16.00,NA,135692,NA
63,3232,1,CAMarin,38.0725,-122.7185,125.86,26,258826,0.008044554455445545
64,253,1,ORLane,43.9386,-122.847,1.14,NA,382067,NA
65,9358,2,GAFulton,33.7903,-84.4669,236.14,319,1063937,0.03408848044453943
66,2692,1,MOSt. Louis,38.6407,-90.443,91.43,593,300576,0.22028231797919762
67,93496,3,ILCook,41.8399,-87.8167,382.71,4664,5150233,0.04988448703687858
68,8071,1,MDBaltimore City,39.2531,-76.5758,61.50,355,593490,0.043984636352372694
69,23781,2,FLBroward,26.1519,-80.4886,826.00,419,1952778,0.017619107691013835
70,1963,1,NELancaster,40.7841,-96.6878,0.57,NA,319090,NA
71,1819,1,WASpokane,47.6206,-117.404,40.79,111,522798,0.06102253985706432
72,53974,1,FLMiami-Dade,25.6171,-80.5682,1871.07,1068,2716940,0.01978730499870308
73,894,1,ORClackamas,45.1887,-122.2214,2.00,6,418187,0.006711409395973154
74,17842,2,CASan Diego,33.0354,-116.7335,444.00,406,3338330,0.02275529649142473
75,2608,1,ORMultnomah,45.5469,-122.4157,6.00,1,812855,0.0003834355828220859
76,20225,2,CAOrange,33.703,-117.7605,657.79,376,3175692,0.018590852904820765
77,0,4,NYNew York (Manhattan),40.7787,-73.9664,38.36,2188,1628706,0.010046974657562553
78,7563,1,CODenver,39.7611,-104.8772,56.29,387,727211,0.051170170567235225
79,1515,2,TNWilliamson,35.8938,-86.8986,1.57,3,238412,0.0019801980198019802
80,4776,1,CASacramento,38.4542,-121.3384,166.86,78,1552058,0.016331658291457288
81,3652,1,FLSeminole,28.717,-81.2362,144.86,20,471826,0.00547645125958379
82,543,1,OHMedina,41.1176,-81.8997,1.57,39,179746,0.0718232044198895
83,473,1,TXParker,32.7777,-97.8051,0.64,24,142878,0.0507399577167019
84,41799,1,NYSuffolk,40.878,-72.8573,0.71,2,1476601,4.784803464197708e-05
85,6471,2,NCWake,35.7901,-78.6504,4.43,40,1111761,0.006181424818420646
86,0,1,VACity of Fredericksburg,38.2992,-77.487,NA,NA,29036,NA
87,29160,1,TXDallas,32.7666,-96.7779,2.00,1,2635516,3.429355281207133e-05
88,16342,1,MAEssex,42.6729,-70.9581,30.14,1131,789034,0.06920817525394689
89,1016,1,AZYavapai,34.5999,-112.5538,35.36,11,235099,0.010826771653543307
90,40012,1,TXHarris,29.7371,-95.1819,7.00,5,4713325,0.000124962511246626
91,2836,1,OHLucas,41.62,-83.6586,13.29,68,428348,0.023977433004231313
92,3431,3,IDAda,43.4511,-116.2411,146.29,23,481587,0.006703584960652871
93,0,2,NYBronx,40.825,-73.8707,NA,NA,1418207,NA
94,79,1,CORoutt,40.4851,-106.9912,0.86,6,25638,0.0759493670886076
95,2061,1,AZSanta Cruz,31.526,-110.8466,37.36,27,46498,0.013100436681222707
96,0,1,MDPrince Georges,38.8313,-76.8436,NA,NA,909327,NA
97,13489,1,NCMecklenburg,35.2468,-80.8328,6.14,2,1110356,0.00014826895989324636
98,42122,1,NYNassau,40.7411,-73.5885,0.79,4,1356924,9.49622525046294e-05
