,Case_Count,Num_Tweets,State,Lat,Lon,Cases_Per_Day,Deaths,Acutely_Ill,Hospitalized,Recovered,Positive_Tests,Negative_Tests,Total_Tests,Population,Death_Rate,Hospitalization_Rate
0,46962,2,AL,32.318231,-86.902298,1259.55,1164,30308,7123,25783,57255,471834,529089,4903185,0.024785997189216813,0.15167582300583451
1,1222,0,AK,63.588753000000004,-154.493062,39.50,17,920,NA,642,1579,147894,149473,731545,0.013911620294599018,NA
2,108614,6,AZ,34.048928000000004,-111.093731,3395.35,2337,110082,5942,15678,128097,593846,721943,7278717,0.02151656324230762,0.054707496271198926
3,25246,4,AR,35.20105,-91.83183299999999,621.85,331,6637,1872,22844,29812,360487,390299,3017804,0.013110987879268003,0.07415036045314109
4,292560,44,CA,36.778261,-119.41793200000001,7514.30,7250,NA,NA,NA,346211,5328744,5674955,39512223,0.024781241454744325,NA
5,35099,13,CO,39.550051,-105.782067,326.45,1738,31122,5941,4808,37668,367287,404955,5758736,0.049517080258696826,0.16926408159776632
6,47108,0,CT,41.603221000000005,-73.087749,80.85,4372,34807,10552,8351,47530,544231,591761,3565287,0.09280801562367326,0.2239959242591492
7,12462,0,DE,38.910832,-75.52767,104.00,518,5267,NA,7184,12969,128631,141600,973764,0.041566361739688654,NA
8,223783,21,FL,27.664827000000002,-81.515754,9130.75,4409,NA,19201,NA,291629,2393614,2685243,21477737,0.019702122145113795,0.08580187056210704
9,103890,10,GA,32.157435,-82.907123,2729.10,3054,NA,13685,NA,123963,1007071,1131034,10617423,0.029396477043026278,0.1317258638945038
10,1094,0,HI,19.898682,-155.66585700000002,21.45,22,331,128,911,1264,94806,96070,1415872,0.02010968921389397,0.1170018281535649
11,8969,5,ID,44.068202,-114.74204099999999,365.90,103,8355,500,3262,11720,118564,130284,1787065,0.011484000445980599,0.05574757498048835
12,150554,5,IL,40.633125,-89.398528,904.90,7419,NA,NA,NA,156638,1885934,2042572,12671821,0.04927799992029438,NA
13,49063,1,IN,40.551217,-85.602364,477.25,2775,10755,7633,39155,52685,525724,578409,6732219,0.05655993314717812,0.15557548458104886
14,32624,3,IA,41.878003,-93.097702,469.85,757,8157,NA,26952,35866,344542,380408,3155070,0.023203776360961256,NA
15,17332,0,KS,39.011902,-98.484246,347.85,299,18668,1343,920,19887,211288,231175,2913314,0.01725132702515578,0.07748672974844219
16,17919,11,KY,37.839333,-84.27001800000001,293.00,635,14199,2802,5389,20223,435333,455556,4467673,0.03543724538199676,0.15637033316591328
17,70151,2,LA,31.244822999999997,-92.14502399999999,1478.25,3445,32263,NA,46334,82042,894413,976455,4648794,0.04910835198357828,NA
18,3460,2,ME,45.253783,-69.44546899999999,27.45,114,390,373,3062,3566,121909,125475,1344212,0.032947976878612714,0.10780346820809249
19,70861,11,MD,39.045755,-76.641271,446.15,3334,65688,11485,5238,74260,591809,666069,6045680,0.047049858173043,0.16207787076106744
20,110602,7,MA,42.407211,-71.382437,225.95,8340,9443,11625,94347,112130,866084,978214,6892503,0.07540550803782933,0.1051065984340247
21,74551,8,MI,44.314844,-85.602364,465.45,6326,17671,NA,53867,77864,1255922,1333786,9986857,0.08485466325066063,NA
22,39589,1,MN,46.729553,-94.6859,470.35,1548,3873,4452,37749,43170,734444,777614,5639632,0.039101770693879614,0.11245548005759176
23,32888,0,MS,32.354668,-89.398528,705.90,1272,10338,3585,25932,37542,312671,350213,2976149,0.03867672099245926,0.10900632449525663
24,25590,2,MO,37.964253,-91.83183299999999,505.85,1114,NA,NA,NA,29240,475863,505103,6137428,0.0435326299335678,NA
25,1371,1,MT,46.879682,-110.36256599999999,59.30,34,1034,136,884,1952,119444,121396,1068778,0.024799416484318017,0.09919766593727207
26,20425,1,NE,41.492537,-99.901813,174.80,286,5406,1431,16025,21717,194518,216235,1934408,0.014002447980416157,0.07006119951040392
27,24301,5,NV,38.802609999999994,-116.419389,804.55,612,28207,NA,800,29619,330561,360180,3080156,0.025184148800460885,NA
28,5952,0,NH,43.193852,-71.572395,24.65,392,643,589,5056,6091,129937,136028,1359711,0.06586021505376344,0.09895833333333333
29,174039,7,NJ,40.058324,-74.405661,301.15,15582,129015,20632,31318,175915,1545316,1721231,8882190,0.08953165669763674,0.11854814150851246
30,14017,2,NM,34.97273,-105.03236299999999,226.20,551,8600,2227,6363,15514,408841,424355,2096829,0.039309410002140256,0.1588785046728972
31,398929,43,NY,43.299428000000006,-74.217933,675.45,32408,299075,89995,71692,403175,4381752,4784927,19453561,0.0812375134422416,0.22559152129827614
32,77687,7,NC,35.759572999999996,-79.0193,1673.65,1571,21305,NA,67124,90000,1164846,1254846,10488084,0.020222173594037614,NA
33,3971,0,ND,47.551493,-101.002012,56.55,88,720,280,3685,4493,120540,125033,762062,0.0221606648199446,0.07051120624527826
34,60181,8,OH,40.417287,-82.907123,1061.80,3069,18644,9049,46282,67995,975754,1043749,11689100,0.05099616157923597,0.15036307140127284
35,17894,3,OK,35.007752,-97.092877,511.50,428,4677,2116,16635,21740,419554,441294,3956971,0.023918631943668268,0.11825192802056556
36,10817,3,OR,43.804133,-120.554201,268.05,244,9432,1254,3129,12805,292651,305456,4217737,0.02255708606822594,0.11592863085883331
37,96725,7,PA,41.203322,-77.194525,679.05,6931,19899,NA,74436,101266,846017,947283,12801989,0.07165675885241664,NA
38,17204,1,RI,41.580095,-71.477429,49.10,985,14911,2070,1692,17588,157070,174658,1059361,0.057254126947221574,0.12032085561497326
39,48909,5,SC,33.836081,-81.163725,1624.60,993,35547,3744,23849,60389,457092,517481,5148714,0.020303011715635158,0.07655032816046127
40,7242,1,SD,43.969515,-99.901813,57.65,109,864,744,6599,7572,84592,92164,884659,0.015051090858878763,0.10273405136702568
41,55986,3,TN,35.517491,-86.58044699999999,1477.65,767,27749,3378,38272,66788,1005100,1071888,6829174,0.013699853534812274,0.060336512699603474
42,224929,22,TX,31.968598999999998,-99.901813,7572.25,3362,133817,NA,142398,279577,2319103,2598680,28995881,0.014946938811802835,NA
43,26755,2,UT,39.32098,-111.093731,584.70,226,12141,1888,18111,30478,394043,424521,3205958,0.008447019248738554,0.07056624929919642
44,1256,0,VT,44.558803000000005,-72.577841,6.05,56,150,NA,1099,1305,76319,77624,623989,0.044585987261146494,NA
45,67375,6,VA,37.431573,-78.656894,646.45,1977,61043,10550,9423,72443,758407,830850,8535519,0.02934322820037106,0.15658627087198515
46,37941,4,WA,47.751073999999996,-120.74013899999999,621.75,1404,NA,4778,NA,42304,665970,708274,7614893,0.037004823278247806,0.12593236867768376
47,3707,2,WV,38.597626,-80.454903,88.80,97,1328,NA,2982,4407,209605,214012,1792147,0.02616671162665228,NA
48,33154,1,WI,43.784440000000004,-88.787868,607.15,826,7805,3892,29275,37906,676638,714544,5822434,0.024914037521867646,0.11739156662846112
49,1740,0,WY,43.075967999999996,-107.29028400000001,33.40,22,466,128,1462,1950,38078,40028,578759,0.01264367816091954,0.0735632183908046
